	id	season	city	date	team1	team2	toss_winner	toss_decision	result	dl_applied	winner	win_by_runs	win_by_wickets	player_of_match	venue	umpire1	umpire2	umpire3	team1Winning	Avg_SR_Difference	Avg_WPR_Difference	Total_MVP_Difference	Prev_Enc_Team1_WinPerc	Total_RF_Difference
262	263	2012	Kolkata	2012-04-13	Rajasthan Royals	Kolkata Knight Riders	Rajasthan Royals	bat	normal	0	Kolkata Knight Riders	0	5	Shakib Al Hasan	Eden Gardens	Asad Rauf	S Asnani		0	-0.556294057969	1.97308148695	-12	50.0	33.3333333333
265	266	2012	Kolkata	2012-04-15	Kings XI Punjab	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Kings XI Punjab	2	0	SP Narine	Eden Gardens	Asad Rauf	S Asnani		1	1.2099875049	1.47873384591	-10	50.0	-66.6666666667
266	267	2012	Bangalore	2012-04-15	Rajasthan Royals	Royal Challengers Bangalore	Rajasthan Royals	bat	normal	0	Rajasthan Royals	59	0	AM Rahane	M Chinnaswamy Stadium	JD Cloete	RJ Tucker		1	-1.99662321976	0.0731673050884	-6	42.8571428571	0.0
267	268	2012	Mumbai	2012-04-16	Mumbai Indians	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	7	S Nadeem	Wankhede Stadium	BF Bowden	SK Tarapore		0	-9.53840609754	-0.429368729622	-2	62.5	33.3333333333
270	271	2012	Chandigarh	2012-04-18	Kings XI Punjab	Kolkata Knight Riders	Kings XI Punjab	bat	normal	0	Kolkata Knight Riders	0	8	G Gambhir	Punjab Cricket Association Stadium, Mohali	JD Cloete	RJ Tucker		0	6.76616136041	-0.142139297814	-10	57.1428571429	-16.6666666667
273	274	2012	Chandigarh	2012-04-20	Kings XI Punjab	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Royal Challengers Bangalore	0	5	CH Gayle	Punjab Cricket Association Stadium, Mohali	S Ravi	RJ Tucker		0	0.20572256041	-0.235880480194	-2	50.0	33.3333333333
274	275	2012	Chennai	2012-04-21	Rajasthan Royals	Chennai Super Kings	Rajasthan Royals	bat	normal	0	Chennai Super Kings	0	7	F du Plessis	MA Chidambaram Stadium, Chepauk	Aleem Dar	BNJ Oxenford		0	-5.87613250022	1.20019465368	-7	44.4444444444	0.0
276	277	2012	Mumbai	2012-04-22	Mumbai Indians	Kings XI Punjab	Mumbai Indians	bat	normal	0	Kings XI Punjab	0	6	SE Marsh	Wankhede Stadium	S Ravi	RJ Tucker		0	-17.9747473754	0.931489605703	11	37.5	33.3333333333
278	279	2012	Jaipur	2012-04-23	Royal Challengers Bangalore	Rajasthan Royals	Rajasthan Royals	field	normal	0	Royal Challengers Bangalore	46	0	AB de Villiers	Sawai Mansingh Stadium	Asad Rauf	S Asnani		1	4.8497587546	-0.406574878481	5	50.0	0.0
280	281	2012	Chandigarh	2012-04-25	Kings XI Punjab	Mumbai Indians	Kings XI Punjab	bat	normal	0	Mumbai Indians	0	4	AT Rayudu	Punjab Cricket Association Stadium, Mohali	Aleem Dar	BNJ Oxenford		0	-16.4433813961	3.32242786132	-10	66.6666666667	0.0
282	283	2012	Delhi	2012-04-27	Delhi Daredevils	Mumbai Indians	Mumbai Indians	field	normal	0	Delhi Daredevils	37	0	V Sehwag	Feroz Shah Kotla	Aleem Dar	BNJ Oxenford		1	7.09662550026	0.74331936202	-5	44.4444444444	33.3333333333
